"Sample ID","Sample top depth (m)","Sample bottom depth (m)","Sample Top Date (BP 1950)","Sample Bottom Date (BP 1950)","Mid Depth Date","Cl (µEq/L)","NO3 (µEq/L)","SO4 (µEq/L)","Na (µEq/L)","Mg (µEq/L)","nssSO4 (µEq/L)"
"DSSp1617A-1_9",0.255,0.3,-66.981,-66.953,-66.967,3.967,0.427,1.572,3.332,0.679,1.281
"DSSp1617A-1_10",0.3,0.35,-66.953,-66.922,-66.938,2.856,0.421,0.871,2.396,0.385,0.662
"DSSp1617A-1_11",0.35,0.4,-66.922,-66.89,-66.906,5.738,0.303,0.927,4.763,0.872,0.512
"DSSp1617A-1_12",0.4,0.45,-66.89,-66.859,-66.875,3.604,0.26,0.573,3.162,0.577,0.297
"DSSp1617A-1_13",0.45,0.5,-66.859,-66.828,-66.844,5.034,0.211,0.501,4.542,0.859,0.105
"DSSp1617A-1_14",0.5,0.54,-66.828,-66.803,-66.816,4.516,0.189,0.451,3.832,0.72,0.117
"DSSp1617A-1_15",0.55,0.61,-66.796,-66.759,-66.778,4.388,0.211,0.409,3.264,0.618,0.124
"DSSp1617A-1_16",0.62,0.67,-66.752,-66.721,-66.737,3.469,0.231,0.347,3.007,0.528,0.085
"DSSp1617A-1_17",0.67,0.72,-66.721,-66.69,-66.706,4.868,0.209,0.531,4.339,0.775,0.154
"DSSp1617A-1_18",0.72,0.77,-66.69,-66.658,-66.674,20.611,0.145,2.284,18.342,3.617,0.686
"DSSp1617A-1_19",0.77,0.82,-66.658,-66.627,-66.643,8.34,0.173,0.893,7.22,1.441,0.264
"DSSp1617A-1_20",0.82,0.87,-66.627,-66.596,-66.612,7.832,0.192,0.764,7.412,1.478,0.119
"DSSp1617A-1_21",0.87,0.92,-66.596,-66.564,-66.58,12.857,0.288,1.248,11.12,2.278,0.28
"DSSp1617A-1_22",0.92,0.97,-66.564,-66.533,-66.549,17.563,0.335,1.73,15.099,3.178,0.415
"DSSp1617A-2_4",1,1.05,-66.514,-66.483,-66.499,10.496,0.645,1.41,9.111,1.846,0.617
"DSSp1617A-2_5",1.05,1.1,-66.483,-66.451,-66.467,3.895,0.388,0.408,3.282,0.624,0.122
"DSSp1617A-2_6",1.1,1.15,-66.451,-66.42,-66.436,2.541,0.334,0.386,2.149,0.416,0.199
"DSSp1617A-2_7",1.15,1.2,-66.42,-66.389,-66.405,2.352,0.159,0.35,2.095,0.391,0.168
"DSSp1617A-2_8",1.2,1.24,-66.389,-66.364,-66.377,1.399,0.155,0.247,1.216,0.233,0.142
"DSSp1617A-2_9",1.25,1.3,-66.357,-66.326,-66.342,0.132,0.068,0.12,0.197,0.067,0.103
"DSSp1617-2_11",1.35,1.41,-66.352,-66.317,-66.335,0.221,0.08,0.123,0.281,0.081,0.098
