"Year (BP 1950)","Year (CE)","Nitrate (μEq/L)","Non sea-salt sulphate (μEq/L)"
-66.5,2016.5,"NaN","NaN"
-65.5,2015.5,0.31,0.453
-64.5,2014.5,0.326,0.427
-63.5,2013.5,0.343,0.441
-62.5,2012.5,0.309,0.406
-61.5,2011.5,0.307,0.552
-60.5,2010.5,0.274,0.461
-59.5,2009.5,0.294,0.42
-58.5,2008.5,0.42,0.41
-57.5,2007.5,0.273,0.362
-56.5,2006.5,0.327,0.535
-55.5,2005.5,0.259,0.378
-54.5,2004.5,0.222,0.452
-53.5,2003.5,0.386,0.403
-52.5,2002.5,0.337,0.471
-51.5,2001.5,0.284,0.419
-50.5,2000.5,0.263,0.258
-49.5,1999.5,0.256,0.463
-48.5,1998.5,0.281,0.298
-47.5,1997.5,0.29,0.306
-46.5,1996.5,0.224,0.582
-45.5,1995.5,0.26,0.368
-44.5,1994.5,0.36,0.443
-43.5,1993.5,0.273,0.582
-42.5,1992.5,0.256,0.759
-41.5,1991.5,0.254,0.595
-40.5,1990.5,0.267,0.484
-39.5,1989.5,0.326,0.542
-38.5,1988.5,0.271,0.374
-37.5,1987.5,0.346,0.633
-36.5,1986.5,0.298,0.409
-35.5,1985.5,0.381,0.544
-34.5,1984.5,0.287,0.56
-33.5,1983.5,0.265,0.511
-32.5,1982.5,0.248,0.444
-31.5,1981.5,0.247,0.431
-30.5,1980.5,0.299,0.28
-29.5,1979.5,0.232,0.312
-28.5,1978.5,0.242,0.217
-27.5,1977.5,0.315,0.475
-26.5,1976.5,0.268,0.411
-25.5,1975.5,0.239,0.48
-24.5,1974.5,0.25,0.618
-23.5,1973.5,0.247,0.585
-22.5,1972.5,0.291,0.363
-21.5,1971.5,0.22,0.366
-20.5,1970.5,0.19,0.36
-19.5,1969.5,0.246,0.31
-18.5,1968.5,0.312,0.429
-17.5,1967.5,0.307,0.493
-16.5,1966.5,0.313,0.42
-15.5,1965.5,0.331,0.374
-14.5,1964.5,0.34,0.75
-13.5,1963.5,0.258,0.614
-12.5,1962.5,0.323,0.523
-11.5,1961.5,0.486,0.562
-10.5,1960.5,0.303,0.401
-9.5,1959.5,0.339,0.443
-8.5,1958.5,0.321,0.397
-7.5,1957.5,0.299,0.449
-6.5,1956.5,0.235,0.418
-5.5,1955.5,0.342,0.325
-4.5,1954.5,0.324,0.345
-3.5,1953.5,0.25,0.406
-2.5,1952.5,0.307,0.498
-1.5,1951.5,0.373,0.485
-0.5,1950.5,0.235,0.507
0.5,1949.5,0.261,0.401
1.5,1948.5,0.275,0.657
2.5,1947.5,0.264,0.437
3.5,1946.5,0.291,0.488
4.5,1945.5,0.295,0.524
5.5,1944.5,0.338,0.539
6.5,1943.5,0.243,0.56
7.5,1942.5,0.38,0.604
8.5,1941.5,0.257,0.58
9.5,1940.5,0.415,0.484
10.5,1939.5,0.27,0.343
11.5,1938.5,0.341,0.431
12.5,1937.5,0.222,0.269
13.5,1936.5,0.174,0.313
14.5,1935.5,0.327,0.309
15.5,1934.5,0.227,0.305
16.5,1933.5,0.191,0.297
17.5,1932.5,0.223,0.637
18.5,1931.5,0.274,0.448
19.5,1930.5,0.277,0.585
20.5,1929.5,0.257,0.545
21.5,1928.5,0.374,0.69
22.5,1927.5,0.243,0.359
23.5,1926.5,0.217,0.391
24.5,1925.5,0.314,0.461
25.5,1924.5,0.224,0.43
26.5,1923.5,0.238,0.408
27.5,1922.5,0.272,0.418
28.5,1921.5,0.27,0.389
29.5,1920.5,0.299,0.394
30.5,1919.5,0.364,0.511
31.5,1918.5,0.327,0.521
32.5,1917.5,0.209,0.492
33.5,1916.5,0.325,0.651
34.5,1915.5,0.386,0.474
35.5,1914.5,0.225,0.381
36.5,1913.5,0.22,0.438
37.5,1912.5,0.291,0.49
38.5,1911.5,0.271,0.494
39.5,1910.5,0.295,0.44
40.5,1909.5,0.297,0.371
41.5,1908.5,0.35,0.464
42.5,1907.5,0.233,0.425
43.5,1906.5,0.359,0.437
44.5,1905.5,0.23,0.321
45.5,1904.5,0.301,0.349
46.5,1903.5,0.248,0.264
47.5,1902.5,0.249,0.391
48.5,1901.5,0.202,0.462
49.5,1900.5,0.284,0.41
